County,Brand,Data,Total
AB, ALFA_ROMEO,3,297
AR, ALFA_ROMEO,14,297
AG, ALFA_ROMEO,4,297
BC, ALFA_ROMEO,8,297
BH, ALFA_ROMEO,10,297
BN, ALFA_ROMEO,0,297
BT, ALFA_ROMEO,4,297
BR, ALFA_ROMEO,4,297
BV, ALFA_ROMEO,7,297
B, ALFA_ROMEO,34,297
BZ, ALFA_ROMEO,6,297
CL, ALFA_ROMEO,2,297
CS, ALFA_ROMEO,2,297
CJ, ALFA_ROMEO,34,297
CT, ALFA_ROMEO,4,297
CV, ALFA_ROMEO,2,297
DB, ALFA_ROMEO,3,297
DJ, ALFA_ROMEO,12,297
GL, ALFA_ROMEO,11,297
GR, ALFA_ROMEO,0,297
GJ, ALFA_ROMEO,4,297
HR, ALFA_ROMEO,2,297
HD, ALFA_ROMEO,10,297
IL, ALFA_ROMEO,3,297
IS, ALFA_ROMEO,14,297
IF, ALFA_ROMEO,1,297
MM, ALFA_ROMEO,10,297
MH, ALFA_ROMEO,3,297
MS, ALFA_ROMEO,1,297
NT, ALFA_ROMEO,9,297
OT, ALFA_ROMEO,5,297
PH, ALFA_ROMEO,12,297
SJ, ALFA_ROMEO,6,297
SM, ALFA_ROMEO,5,297
SB, ALFA_ROMEO,6,297
SV, ALFA_ROMEO,13,297
TR, ALFA_ROMEO,2,297
TM, ALFA_ROMEO,9,297
TL, ALFA_ROMEO,3,297
VS, ALFA_ROMEO,3,297
VL, ALFA_ROMEO,8,297
VN, ALFA_ROMEO,5,297
AB, ALPINA,0,3
AR, ALPINA,0,3
AG, ALPINA,0,3
BC, ALPINA,0,3
BH, ALPINA,0,3
BN, ALPINA,0,3
BT, ALPINA,0,3
BR, ALPINA,0,3
BV, ALPINA,0,3
B, ALPINA,0,3
BZ, ALPINA,0,3
CL, ALPINA,0,3
CS, ALPINA,0,3
CJ, ALPINA,1,3
CT, ALPINA,0,3
CV, ALPINA,0,3
DB, ALPINA,0,3
DJ, ALPINA,0,3
GL, ALPINA,0,3
GR, ALPINA,0,3
GJ, ALPINA,1,3
HR, ALPINA,0,3
HD, ALPINA,0,3
IL, ALPINA,0,3
IS, ALPINA,0,3
IF, ALPINA,0,3
MM, ALPINA,0,3
MH, ALPINA,0,3
MS, ALPINA,0,3
NT, ALPINA,0,3
OT, ALPINA,0,3
PH, ALPINA,1,3
SJ, ALPINA,0,3
SM, ALPINA,0,3
SB, ALPINA,0,3
SV, ALPINA,0,3
TR, ALPINA,0,3
TM, ALPINA,0,3
TL, ALPINA,0,3
VS, ALPINA,0,3
VL, ALPINA,0,3
VN, ALPINA,0,3
AB, ARO,1,15
AR, ARO,0,15
AG, ARO,3,15
BC, ARO,0,15
BH, ARO,0,15
BN, ARO,0,15
BT, ARO,0,15
BR, ARO,0,15
BV, ARO,0,15
B, ARO,4,15
BZ, ARO,0,15
CL, ARO,0,15
CS, ARO,0,15
CJ, ARO,0,15
CT, ARO,0,15
CV, ARO,0,15
DB, ARO,0,15
DJ, ARO,0,15
GL, ARO,0,15
GR, ARO,0,15
GJ, ARO,0,15
HR, ARO,0,15
HD, ARO,0,15
IL, ARO,0,15
IS, ARO,0,15
IF, ARO,0,15
MM, ARO,0,15
MH, ARO,0,15
MS, ARO,0,15
NT, ARO,0,15
OT, ARO,1,15
PH, ARO,1,15
SJ, ARO,0,15
SM, ARO,0,15
SB, ARO,0,15
SV, ARO,1,15
TR, ARO,0,15
TM, ARO,0,15
TL, ARO,0,15
VS, ARO,0,15
VL, ARO,3,15
VN, ARO,0,15
AB, ASIA,0,1
AR, ASIA,0,1
AG, ASIA,0,1
BC, ASIA,0,1
BH, ASIA,0,1
BN, ASIA,0,1
BT, ASIA,0,1
BR, ASIA,0,1
BV, ASIA,0,1
B, ASIA,0,1
BZ, ASIA,0,1
CL, ASIA,0,1
CS, ASIA,0,1
CJ, ASIA,0,1
CT, ASIA,0,1
CV, ASIA,0,1
DB, ASIA,0,1
DJ, ASIA,0,1
GL, ASIA,0,1
GR, ASIA,0,1
GJ, ASIA,0,1
HR, ASIA,0,1
HD, ASIA,0,1
IL, ASIA,0,1
IS, ASIA,0,1
IF, ASIA,0,1
MM, ASIA,1,1
MH, ASIA,0,1
MS, ASIA,0,1
NT, ASIA,0,1
OT, ASIA,0,1
PH, ASIA,0,1
SJ, ASIA,0,1
SM, ASIA,0,1
SB, ASIA,0,1
SV, ASIA,0,1
TR, ASIA,0,1
TM, ASIA,0,1
TL, ASIA,0,1
VS, ASIA,0,1
VL, ASIA,0,1
VN, ASIA,0,1
AB, ASTON_MARTIN,0,1
AR, ASTON_MARTIN,0,1
AG, ASTON_MARTIN,0,1
BC, ASTON_MARTIN,0,1
BH, ASTON_MARTIN,0,1
BN, ASTON_MARTIN,0,1
BT, ASTON_MARTIN,0,1
BR, ASTON_MARTIN,0,1
BV, ASTON_MARTIN,0,1
B, ASTON_MARTIN,1,1
BZ, ASTON_MARTIN,0,1
CL, ASTON_MARTIN,0,1
CS, ASTON_MARTIN,0,1
CJ, ASTON_MARTIN,0,1
CT, ASTON_MARTIN,0,1
CV, ASTON_MARTIN,0,1
DB, ASTON_MARTIN,0,1
DJ, ASTON_MARTIN,0,1
GL, ASTON_MARTIN,0,1
GR, ASTON_MARTIN,0,1
GJ, ASTON_MARTIN,0,1
HR, ASTON_MARTIN,0,1
HD, ASTON_MARTIN,0,1
IL, ASTON_MARTIN,0,1
IS, ASTON_MARTIN,0,1
IF, ASTON_MARTIN,0,1
MM, ASTON_MARTIN,0,1
MH, ASTON_MARTIN,0,1
MS, ASTON_MARTIN,0,1
NT, ASTON_MARTIN,0,1
OT, ASTON_MARTIN,0,1
PH, ASTON_MARTIN,0,1
SJ, ASTON_MARTIN,0,1
SM, ASTON_MARTIN,0,1
SB, ASTON_MARTIN,0,1
SV, ASTON_MARTIN,0,1
TR, ASTON_MARTIN,0,1
TM, ASTON_MARTIN,0,1
TL, ASTON_MARTIN,0,1
VS, ASTON_MARTIN,0,1
VL, ASTON_MARTIN,0,1
VN, ASTON_MARTIN,0,1
AB, AUDI,161,6866
AR, AUDI,233,6866
AG, AUDI,177,6866
BC, AUDI,156,6866
BH, AUDI,276,6866
BN, AUDI,158,6866
BT, AUDI,167,6866
BR, AUDI,84,6866
BV, AUDI,199,6866
B, AUDI,687,6866
BZ, AUDI,93,6866
CL, AUDI,57,6866
CS, AUDI,111,6866
CJ, AUDI,240,6866
CT, AUDI,286,6866
CV, AUDI,57,6866
DB, AUDI,116,6866
DJ, AUDI,172,6866
GL, AUDI,182,6866
GR, AUDI,68,6866
GJ, AUDI,122,6866
HR, AUDI,68,6866
HD, AUDI,131,6866
IL, AUDI,67,6866
IS, AUDI,222,6866
IF, AUDI,140,6866
MM, AUDI,230,6866
MH, AUDI,98,6866
MS, AUDI,235,6866
NT, AUDI,163,6866
OT, AUDI,113,6866
PH, AUDI,191,6866
SJ, AUDI,169,6866
SM, AUDI,135,6866
SB, AUDI,169,6866
SV, AUDI,320,6866
TR, AUDI,66,6866
TM, AUDI,218,6866
TL, AUDI,49,6866
VS, AUDI,110,6866
VL, AUDI,139,6866
VN, AUDI,106,6866
AB, BAIC,0,1
AR, BAIC,0,1
AG, BAIC,0,1
BC, BAIC,0,1
BH, BAIC,0,1
BN, BAIC,0,1
BT, BAIC,0,1
BR, BAIC,0,1
BV, BAIC,0,1
B, BAIC,0,1
BZ, BAIC,0,1
CL, BAIC,0,1
CS, BAIC,0,1
CJ, BAIC,0,1
CT, BAIC,0,1
CV, BAIC,0,1
DB, BAIC,0,1
DJ, BAIC,0,1
GL, BAIC,0,1
GR, BAIC,0,1
GJ, BAIC,0,1
HR, BAIC,0,1
HD, BAIC,0,1
IL, BAIC,0,1
IS, BAIC,0,1
IF, BAIC,0,1
MM, BAIC,0,1
MH, BAIC,0,1
MS, BAIC,0,1
NT, BAIC,1,1
OT, BAIC,0,1
PH, BAIC,0,1
SJ, BAIC,0,1
SM, BAIC,0,1
SB, BAIC,0,1
SV, BAIC,0,1
TR, BAIC,0,1
TM, BAIC,0,1
TL, BAIC,0,1
VS, BAIC,0,1
VL, BAIC,0,1
VN, BAIC,0,1
AB, BENTLEY,0,11
AR, BENTLEY,0,11
AG, BENTLEY,0,11
BC, BENTLEY,0,11
BH, BENTLEY,0,11
BN, BENTLEY,0,11
BT, BENTLEY,0,11
BR, BENTLEY,0,11
BV, BENTLEY,1,11
B, BENTLEY,4,11
BZ, BENTLEY,0,11
CL, BENTLEY,0,11
CS, BENTLEY,0,11
CJ, BENTLEY,0,11
CT, BENTLEY,3,11
CV, BENTLEY,0,11
DB, BENTLEY,0,11
DJ, BENTLEY,0,11
GL, BENTLEY,0,11
GR, BENTLEY,0,11
GJ, BENTLEY,0,11
HR, BENTLEY,0,11
HD, BENTLEY,0,11
IL, BENTLEY,0,11
IS, BENTLEY,0,11
IF, BENTLEY,1,11
MM, BENTLEY,0,11
MH, BENTLEY,0,11
MS, BENTLEY,1,11
NT, BENTLEY,0,11
OT, BENTLEY,0,11
PH, BENTLEY,0,11
SJ, BENTLEY,0,11
SM, BENTLEY,0,11
SB, BENTLEY,0,11
SV, BENTLEY,0,11
TR, BENTLEY,0,11
TM, BENTLEY,1,11
TL, BENTLEY,0,11
VS, BENTLEY,0,11
VL, BENTLEY,0,11
VN, BENTLEY,0,11
AB, BMW,115,7611
AR, BMW,203,7611
AG, BMW,342,7611
BC, BMW,195,7611
BH, BMW,214,7611
BN, BMW,130,7611
BT, BMW,117,7611
BR, BMW,106,7611
BV, BMW,196,7611
B, BMW,1190,7611
BZ, BMW,103,7611
CL, BMW,70,7611
CS, BMW,85,7611
CJ, BMW,278,7611
CT, BMW,273,7611
CV, BMW,25,7611
DB, BMW,150,7611
DJ, BMW,341,7611
GL, BMW,156,7611
GR, BMW,108,7611
GJ, BMW,188,7611
HR, BMW,55,7611
HD, BMW,144,7611
IL, BMW,92,7611
IS, BMW,214,7611
IF, BMW,276,7611
MM, BMW,150,7611
MH, BMW,106,7611
MS, BMW,164,7611
NT, BMW,99,7611
OT, BMW,163,7611
PH, BMW,239,7611
SJ, BMW,168,7611
SM, BMW,106,7611
SB, BMW,169,7611
SV, BMW,196,7611
TR, BMW,98,7611
TM, BMW,262,7611
TL, BMW,49,7611
VS, BMW,96,7611
VL, BMW,160,7611
VN, BMW,82,7611
AB, BUICK,0,1
AR, BUICK,0,1
AG, BUICK,0,1
BC, BUICK,0,1
BH, BUICK,0,1
BN, BUICK,0,1
BT, BUICK,0,1
BR, BUICK,0,1
BV, BUICK,0,1
B, BUICK,0,1
BZ, BUICK,0,1
CL, BUICK,0,1
CS, BUICK,0,1
CJ, BUICK,0,1
CT, BUICK,0,1
CV, BUICK,0,1
DB, BUICK,0,1
DJ, BUICK,1,1
GL, BUICK,0,1
GR, BUICK,0,1
GJ, BUICK,0,1
HR, BUICK,0,1
HD, BUICK,0,1
IL, BUICK,0,1
IS, BUICK,0,1
IF, BUICK,0,1
MM, BUICK,0,1
MH, BUICK,0,1
MS, BUICK,0,1
NT, BUICK,0,1
OT, BUICK,0,1
PH, BUICK,0,1
SJ, BUICK,0,1
SM, BUICK,0,1
SB, BUICK,0,1
SV, BUICK,0,1
TR, BUICK,0,1
TM, BUICK,0,1
TL, BUICK,0,1
VS, BUICK,0,1
VL, BUICK,0,1
VN, BUICK,0,1
AB, CADILLAC,0,6
AR, CADILLAC,0,6
AG, CADILLAC,0,6
BC, CADILLAC,0,6
BH, CADILLAC,0,6
BN, CADILLAC,0,6
BT, CADILLAC,0,6
BR, CADILLAC,0,6
BV, CADILLAC,1,6
B, CADILLAC,3,6
BZ, CADILLAC,0,6
CL, CADILLAC,0,6
CS, CADILLAC,0,6
CJ, CADILLAC,0,6
CT, CADILLAC,0,6
CV, CADILLAC,0,6
DB, CADILLAC,0,6
DJ, CADILLAC,0,6
GL, CADILLAC,0,6
GR, CADILLAC,0,6
GJ, CADILLAC,0,6
HR, CADILLAC,0,6
HD, CADILLAC,0,6
IL, CADILLAC,0,6
IS, CADILLAC,0,6
IF, CADILLAC,1,6
MM, CADILLAC,0,6
MH, CADILLAC,0,6
MS, CADILLAC,0,6
NT, CADILLAC,0,6
OT, CADILLAC,0,6
PH, CADILLAC,0,6
SJ, CADILLAC,1,6
SM, CADILLAC,0,6
SB, CADILLAC,1,6
SV, CADILLAC,0,6
TR, CADILLAC,0,6
TM, CADILLAC,0,6
TL, CADILLAC,0,6
VS, CADILLAC,0,6
VL, CADILLAC,0,6
VN, CADILLAC,0,6
AB, CAMI,0,3
AR, CAMI,0,3
AG, CAMI,0,3
BC, CAMI,0,3
BH, CAMI,0,3
BN, CAMI,0,3
BT, CAMI,0,3
BR, CAMI,0,3
BV, CAMI,0,3
B, CAMI,0,3
BZ, CAMI,0,3
CL, CAMI,0,3
CS, CAMI,1,3
CJ, CAMI,0,3
CT, CAMI,0,3
CV, CAMI,0,3
DB, CAMI,0,3
DJ, CAMI,0,3
GL, CAMI,0,3
GR, CAMI,0,3
GJ, CAMI,0,3
HR, CAMI,0,3
HD, CAMI,1,3
IL, CAMI,0,3
IS, CAMI,0,3
IF, CAMI,0,3
MM, CAMI,0,3
MH, CAMI,0,3
MS, CAMI,1,3
NT, CAMI,0,3
OT, CAMI,0,3
PH, CAMI,0,3
SJ, CAMI,0,3
SM, CAMI,0,3
SB, CAMI,0,3
SV, CAMI,0,3
TR, CAMI,0,3
TM, CAMI,0,3
TL, CAMI,0,3
VS, CAMI,0,3
VL, CAMI,0,3
VN, CAMI,0,3
AB, CHEVROLET,4,435
AR, CHEVROLET,10,435
AG, CHEVROLET,15,435
BC, CHEVROLET,9,435
BH, CHEVROLET,10,435
BN, CHEVROLET,5,435
BT, CHEVROLET,4,435
BR, CHEVROLET,15,435
BV, CHEVROLET,17,435
B, CHEVROLET,60,435
BZ, CHEVROLET,8,435
CL, CHEVROLET,7,435
CS, CHEVROLET,4,435
CJ, CHEVROLET,10,435
CT, CHEVROLET,10,435
CV, CHEVROLET,6,435
DB, CHEVROLET,7,435
DJ, CHEVROLET,18,435
GL, CHEVROLET,12,435
GR, CHEVROLET,12,435
GJ, CHEVROLET,6,435
HR, CHEVROLET,3,435
HD, CHEVROLET,8,435
IL, CHEVROLET,3,435
IS, CHEVROLET,16,435
IF, CHEVROLET,23,435
MM, CHEVROLET,10,435
MH, CHEVROLET,6,435
MS, CHEVROLET,13,435
NT, CHEVROLET,9,435
OT, CHEVROLET,8,435
PH, CHEVROLET,14,435
SJ, CHEVROLET,12,435
SM, CHEVROLET,4,435
SB, CHEVROLET,12,435
SV, CHEVROLET,3,435
TR, CHEVROLET,2,435
TM, CHEVROLET,26,435
TL, CHEVROLET,6,435
VS, CHEVROLET,6,435
VL, CHEVROLET,6,435
VN, CHEVROLET,3,435
AB, CHRYSLER,2,43
AR, CHRYSLER,0,43
AG, CHRYSLER,1,43
BC, CHRYSLER,1,43
BH, CHRYSLER,1,43
BN, CHRYSLER,2,43
BT, CHRYSLER,0,43
BR, CHRYSLER,0,43
BV, CHRYSLER,0,43
B, CHRYSLER,5,43
BZ, CHRYSLER,0,43
CL, CHRYSLER,0,43
CS, CHRYSLER,1,43
CJ, CHRYSLER,2,43
CT, CHRYSLER,1,43
CV, CHRYSLER,0,43
DB, CHRYSLER,1,43
DJ, CHRYSLER,1,43
GL, CHRYSLER,2,43
GR, CHRYSLER,0,43
GJ, CHRYSLER,1,43
HR, CHRYSLER,0,43
HD, CHRYSLER,0,43
IL, CHRYSLER,0,43
IS, CHRYSLER,0,43
IF, CHRYSLER,0,43
MM, CHRYSLER,1,43
MH, CHRYSLER,1,43
MS, CHRYSLER,1,43
NT, CHRYSLER,1,43
OT, CHRYSLER,3,43
PH, CHRYSLER,0,43
SJ, CHRYSLER,2,43
SM, CHRYSLER,1,43
SB, CHRYSLER,2,43
SV, CHRYSLER,4,43
TR, CHRYSLER,1,43
TM, CHRYSLER,2,43
TL, CHRYSLER,1,43
VS, CHRYSLER,2,43
VL, CHRYSLER,1,43
VN, CHRYSLER,1,43
AB, CITROEN,14,933
AR, CITROEN,28,933
AG, CITROEN,34,933
BC, CITROEN,19,933
BH, CITROEN,27,933
BN, CITROEN,11,933
BT, CITROEN,8,933
BR, CITROEN,11,933
BV, CITROEN,37,933
B, CITROEN,152,933
BZ, CITROEN,17,933
CL, CITROEN,2,933
CS, CITROEN,9,933
CJ, CITROEN,36,933
CT, CITROEN,33,933
CV, CITROEN,6,933
DB, CITROEN,15,933
DJ, CITROEN,20,933
GL, CITROEN,19,933
GR, CITROEN,9,933
GJ, CITROEN,11,933
HR, CITROEN,9,933
HD, CITROEN,14,933
IL, CITROEN,10,933
IS, CITROEN,26,933
IF, CITROEN,30,933
MM, CITROEN,43,933
MH, CITROEN,11,933
MS, CITROEN,29,933
NT, CITROEN,23,933
OT, CITROEN,11,933
PH, CITROEN,36,933
SJ, CITROEN,12,933
SM, CITROEN,20,933
SB, CITROEN,13,933
SV, CITROEN,22,933
TR, CITROEN,13,933
TM, CITROEN,45,933
TL, CITROEN,7,933
VS, CITROEN,12,933
VL, CITROEN,13,933
VN, CITROEN,12,933
AB, CITROEN-DS,0,1
AR, CITROEN-DS,0,1
AG, CITROEN-DS,0,1
BC, CITROEN-DS,0,1
BH, CITROEN-DS,0,1
BN, CITROEN-DS,0,1
BT, CITROEN-DS,0,1
BR, CITROEN-DS,0,1
BV, CITROEN-DS,0,1
B, CITROEN-DS,0,1
BZ, CITROEN-DS,0,1
CL, CITROEN-DS,0,1
CS, CITROEN-DS,0,1
CJ, CITROEN-DS,0,1
CT, CITROEN-DS,0,1
CV, CITROEN-DS,0,1
